season,week,home_team,away_team,home_score,away_score,home_win,div_game,home_rest,away_rest,spread_line,home_moneyline,away_moneyline,home_rolling_win_pct,away_rolling_win_pct,home_rolling_point_diff,away_rolling_point_diff
2022,4,CAR,ARI,16.0,26.0,0,0,7,7,1.0,-113.0,102.0,0.3333333333333333,0.3333333333333333,1.0,-8.333333333333334
2022,4,PIT,NYJ,20.0,24.0,0,0,10,7,3.0,-161.0,145.0,0.3333333333333333,0.3333333333333333,-4.0,-9.666666666666666
2022,4,PHI,JAX,29.0,21.0,1,0,7,7,6.5,-256.0,223.0,1.0,0.6666666666666666,12.0,15.333333333333334
2022,4,NYG,CHI,20.0,12.0,1,0,6,7,3.0,-144.0,130.0,0.6666666666666666,0.6666666666666666,-1.0,-1.6666666666666667
2022,4,HOU,LAC,24.0,34.0,0,0,7,7,-5.5,205.0,-234.0,0.0,0.3333333333333333,-3.3333333333333335,-8.666666666666666
2022,4,DET,SEA,45.0,48.0,0,0,7,7,3.0,-169.0,151.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-7.666666666666667
2022,4,DAL,WAS,25.0,10.0,1,1,6,7,3.0,-155.0,140.0,0.6666666666666666,0.3333333333333333,-2.0,-6.333333333333333
2022,4,BAL,BUF,20.0,23.0,0,0,7,7,-3.0,154.0,-172.0,0.6666666666666666,0.6666666666666666,7.333333333333333,17.666666666666668
2022,4,ATL,CLE,23.0,20.0,1,0,7,10,-1.0,-103.0,-107.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,4.333333333333333
2022,4,NO,MIN,25.0,28.0,0,0,7,7,-4.0,177.0,-199.0,0.3333333333333333,0.6666666666666666,-5.666666666666667,1.0
2022,4,IND,TEN,17.0,24.0,0,1,7,7,4.5,-205.0,182.0,0.3333333333333333,0.3333333333333333,-7.0,-11.0
2022,4,SF,LA,24.0,9.0,1,1,8,8,1.0,-124.0,112.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,-3.0
2022,5,DEN,IND,9.0,12.0,0,0,4,4,3.5,-178.0,159.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-9.333333333333334
2022,5,TB,ATL,21.0,15.0,1,1,7,7,10.5,-430.0,355.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666,1.0
2022,5,BAL,CIN,19.0,17.0,1,1,7,10,3.0,-168.0,151.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,8.0
2022,5,LA,DAL,10.0,22.0,0,0,6,7,5.5,-220.0,195.0,0.6666666666666666,1.0,-1.0,8.333333333333334
2022,5,ARI,PHI,17.0,20.0,0,0,7,7,-5.5,196.0,-222.0,0.6666666666666666,1.0,2.6666666666666665,13.666666666666666
2022,5,CAR,SF,15.0,37.0,0,0,7,6,-6.0,206.0,-234.0,0.3333333333333333,0.6666666666666666,-1.6666666666666667,11.333333333333334
2022,5,WAS,TEN,17.0,21.0,0,0,7,7,-1.0,-100.0,-110.0,0.0,0.6666666666666666,-13.333333333333334,-8.333333333333334
2022,5,NYJ,MIA,40.0,17.0,1,1,7,10,-3.0,146.0,-162.0,0.6666666666666666,0.6666666666666666,-3.3333333333333335,-2.0
2022,5,NO,SEA,39.0,32.0,1,0,7,7,5.5,-229.0,201.0,0.0,0.3333333333333333,-7.0,-7.0
2022,5,NE,DET,29.0,0.0,1,0,7,7,3.0,-148.0,133.0,0.3333333333333333,0.3333333333333333,-3.6666666666666665,0.6666666666666666
2022,5,MIN,CHI,29.0,22.0,1,1,7,7,10.0,-385.0,322.0,0.6666666666666666,0.3333333333333333,-3.3333333333333335,-7.333333333333333
2022,5,JAX,HOU,6.0,13.0,0,1,7,7,7.0,-304.0,261.0,0.6666666666666666,0.0,14.666666666666666,-6.666666666666667
2022,5,CLE,LAC,28.0,30.0,0,0,7,7,-1.0,103.0,-114.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,-7.0
2022,5,BUF,PIT,38.0,3.0,1,0,7,7,14.0,-749.0,568.0,0.6666666666666666,0.0,11.666666666666666,-6.333333333333333
2022,5,GB,NYG,22.0,27.0,0,0,7,7,8.5,-397.0,331.0,1.0,0.6666666666666666,7.333333333333333,1.3333333333333333
2022,5,KC,LV,30.0,29.0,1,1,8,8,7.5,-321.0,275.0,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.3333333333333333
2022,6,CHI,WAS,7.0,12.0,0,0,4,4,-1.0,109.0,-120.0,0.3333333333333333,0.0,-4.0,-11.666666666666666
2022,6,PHI,DAL,26.0,17.0,1,1,7,7,6.5,-292.0,252.0,1.0,1.0,9.0,11.333333333333334
2022,6,KC,BUF,20.0,24.0,0,0,6,7,-2.5,132.0,-146.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,12.0
2022,6,SEA,ARI,19.0,9.0,1,1,7,7,-2.5,123.0,-136.0,0.3333333333333333,0.3333333333333333,-2.6666666666666665,-0.3333333333333333
2022,6,PIT,TB,20.0,18.0,1,0,7,7,-10.0,323.0,-386.0,0.0,0.3333333333333333,-17.0,-2.0
2022,6,NYG,BAL,24.0,20.0,1,0,7,7,-5.5,206.0,-234.0,0.6666666666666666,0.6666666666666666,2.0,3.3333333333333335
2022,6,LA,CAR,24.0,10.0,1,0,7,7,10.0,-413.0,343.0,0.3333333333333333,0.3333333333333333,-6.333333333333333,-8.0
2022,6,MIA,MIN,16.0,24.0,0,0,7,7,-3.0,157.0,-175.0,0.3333333333333333,1.0,-11.0,4.666666666666667
2022,6,IND,JAX,34.0,27.0,1,1,10,7,1.0,-122.0,110.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,4.333333333333333
2022,6,GB,NYJ,10.0,27.0,0,0,7,7,7.5,-362.0,305.0,0.6666666666666666,0.6666666666666666,0.0,4.0
2022,6,CLE,NE,15.0,38.0,0,0,7,7,2.5,-140.0,127.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,5.0
2022,6,ATL,SF,28.0,14.0,1,0,7,7,-3.5,166.0,-185.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,12.0
2022,6,NO,CIN,26.0,30.0,0,0,7,7,-3.0,148.0,-164.0,0.3333333333333333,0.6666666666666666,-1.3333333333333333,8.333333333333334
2022,6,LAC,DEN,19.0,16.0,1,1,8,11,3.5,-186.0,166.0,0.6666666666666666,0.3333333333333333,-5.333333333333333,-3.6666666666666665
2022,7,ARI,NO,42.0,34.0,1,0,4,4,2.5,-140.0,126.0,0.3333333333333333,0.3333333333333333,-1.0,0.0
2022,7,LAC,SEA,23.0,37.0,0,0,6,7,5.5,-219.0,193.0,1.0,0.6666666666666666,5.0,2.0
2022,7,LV,HOU,38.0,20.0,1,0,13,14,7.0,-325.0,278.0,0.3333333333333333,0.3333333333333333,2.0,-2.0
2022,7,DEN,NYJ,9.0,16.0,0,0,6,7,-2.0,115.0,-127.0,0.0,1.0,-5.0,14.666666666666666
2022,7,WAS,GB,23.0,21.0,1,0,10,7,-4.0,173.0,-195.0,0.3333333333333333,0.3333333333333333,-4.666666666666667,-6.333333333333333
2022,7,TEN,IND,19.0,10.0,1,1,14,7,2.5,-143.0,129.0,1.0,0.6666666666666666,4.333333333333333,1.0
2022,7,CAR,TB,21.0,3.0,1,1,7,7,-13.0,524.0,-680.0,0.0,0.3333333333333333,-15.333333333333334,-2.0
2022,7,DAL,DET,24.0,6.0,1,0,7,14,7.0,-278.0,241.0,0.6666666666666666,0.0,6.0,-12.0
2022,7,CIN,ATL,35.0,17.0,1,0,7,7,6.5,-271.0,235.0,0.6666666666666666,0.6666666666666666,4.666666666666667,3.6666666666666665
2022,7,BAL,CLE,23.0,20.0,1,1,7,7,6.5,-282.0,244.0,0.3333333333333333,0.0,-1.6666666666666667,-9.333333333333334
2022,7,SF,KC,23.0,44.0,0,0,7,7,-1.0,-104.0,-106.0,0.6666666666666666,0.6666666666666666,7.666666666666667,2.3333333333333335
2022,7,JAX,NYG,17.0,23.0,0,0,7,7,3.0,-165.0,148.0,0.0,1.0,-7.333333333333333,5.666666666666667
2022,7,MIA,PIT,16.0,10.0,1,0,7,7,7.5,-297.0,255.0,0.0,0.3333333333333333,-14.333333333333334,-12.333333333333334
2022,7,NE,CHI,14.0,33.0,0,0,8,11,9.5,-392.0,327.0,0.6666666666666666,0.0,16.333333333333332,-6.666666666666667
2022,8,TB,BAL,22.0,27.0,0,0,4,4,2.0,-128.0,116.0,0.3333333333333333,0.6666666666666666,-4.666666666666667,0.3333333333333333
2022,8,BUF,GB,27.0,17.0,1,0,14,7,10.5,-445.0,365.0,1.0,0.0,14.0,-8.0
2022,8,SEA,NYG,27.0,13.0,1,0,7,7,3.0,-164.0,147.0,0.6666666666666666,1.0,5.666666666666667,5.0
2022,8,LA,SF,14.0,31.0,0,1,14,7,-1.0,-106.0,-104.0,0.3333333333333333,0.3333333333333333,-4.333333333333333,-4.333333333333333
2022,8,HOU,TEN,10.0,17.0,0,1,7,7,-1.0,104.0,-115.0,0.3333333333333333,1.0,-7.0,6.666666666666667
2022,8,PHI,PIT,35.0,13.0,1,0,14,7,11.0,-490.0,397.0,1.0,0.3333333333333333,6.666666666666667,-13.0
2022,8,NYJ,NE,17.0,22.0,0,1,7,6,-3.0,140.0,-155.0,1.0,0.6666666666666666,15.666666666666666,11.0
2022,8,IND,WAS,16.0,17.0,0,0,7,7,3.0,-151.0,136.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
2022,8,MIN,ARI,34.0,26.0,1,0,14,10,4.0,-199.0,177.0,1.0,0.3333333333333333,6.0,-1.6666666666666667
2022,8,DET,MIA,27.0,31.0,0,0,7,7,-3.5,169.0,-190.0,0.0,0.3333333333333333,-16.666666666666668,-8.333333333333334
